intervention,inclusion_tier,registry_trials,max_phase,statuses,trials_with_posted_results,category,traditional,abandoned_reason,termination_reasons,verdict_class,verdict_sublabel,evidence_tier,evidence_tier_sublabel,n_human_studies,n_mono_randomised,strongest_design,key_result_pmid,key_result_verbatim,metric,duration_weeks,comparator_arm_change,endpoint_dimension,indirect_only,conflict_present,conflict_note,safety,pooled_context_pmids,combination_evidence_pmids,why,curated,curation_note,duplicate_of,registry_only_result
inhaled iloprost,I3,1,PHASE2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
inhaled nintedanib,I3,2,PHASE2,COMPLETED|RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
inhaled nitric oxide,I1,2,PHASE2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,rct,32092321.0,"During blinded treatment, iNO30 subjects showed an average improvement in moderate/vigorous physical activity (MVPA) and remained stable in overall activity. Placebo subjects showed an average drop of 26% in MVPA and a 12% drop in overall activity.",moderate/vigorous physical activity (MVPA) and overall activity measured by activity monitoring,8.0,placebo,moderate/vigorous physical activity (MVPA) and overall activity measured by activity monitoring,True,False,,"Inhaled nitric oxide at all doses (30, 45, and 75 μg/kg/h) was safe and well tolerated.",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
inhaled treprostinil,I1,6,PHASE3,COMPLETED|ENROLLING_BY_INVITATION|TERMINATED,2,repurposed_approved_drug,False,recruitment_or_operational,Lack of enrollment to the trial. Very difficult population to recruit.,Works,"phase 3 randomised evidence, graded on its own endpoint only",Probable,"randomised, endpoint-specific",3,2,rct,41812190.0,"The median change in FVC at week 52 was -49.9 ml (95% confidence interval [CI], -79.2 to -19.5) in the treprostinil group and -136.4 ml (95% CI, -172.5 to -104.0) in the placebo group; the between-group difference in the change in FVC was 95.6 ml (95% CI, 52.2 to 139.0; P<0.001).",change from baseline in absolute forced vital capacity (FVC) at week 52,52.0,placebo,change from baseline in absolute forced vital capacity (FVC) at week 52,True,False,,Most common adverse event was cough (48.3% treprostinil vs 24.1% placebo); 33.6% of treprostinil group discontinued due to adverse events.,,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",True,PHASE6 A5 (registry-results sweep): the trial with posted results (NCT00705133) enrolled interstitial lung disease with pulmonary hypertension rather than an IPF-specific population; labelled indirect for IPF purposes.,,
inspiratory muscle training,I1,2,NA/none,COMPLETED,0,non_pharmacological,False,not_applicable,,Uncertain,positive randomised signal below phase 3,Uncertain,early-phase or single randomised source,4,1,rct,39129185.0,"There were significant increases in the intervention group compared to the control group based on 6MWD (p < 0.001, η2 effect size = 0.43), MIP (p = 0.006, η2 effect size = 0.25) and MIP % predicted (p = 0.008, η2 effect size = 0.25).","Dyspnoea perception (mMRC score), functional exercise capacity (6MWD), inspiratory muscle strength (MIP)",8.0,Inspiratory muscle training without applied resistance,"Dyspnoea perception (mMRC score), functional exercise capacity (6MWD), inspiratory muscle strength (MIP)",False,False,,,,31487757|18843927,"4 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,,,
integrated precision medicine platform,I3,1,NA/none,NOT_YET_RECRUITING,0,other,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
interferon alpha,I3,1,PHASE2,TERMINATED,0,biologic,False,recruitment_or_operational,Insufficient patient accrual,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
interferon alpha (oral),I3,1,PHASE2,COMPLETED,1,biologic,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): posted results exist (NCT01442779, n=18) but the study is single-arm with no comparator; 12 participants recorded as having minimal or no disease progression. No comparative signal; grading unchanged.",,"yes - posted registry results only, no publication located in this sweep"
interferon gamma-1b,I1,7,PHASE3,COMPLETED|TERMINATED,0,biologic,False,lack_of_efficacy,Study design changes were needed based on GIPF-001 results; program discontinued based on GIPF-007 results; test drug showed lack of benefit at interim analysis,Failed,"adequately sized randomised evidence, null",Probable,randomised null result,6,1,rct,14711911.0,"Over a median of 58 weeks, interferon gamma-1b therapy did not significantly affect the primary end point of progression-free survival, defined as the time to disease progression or death, and no significant treatment effect was observed on measures of lung function, gas exchange, or the quality of life.",progression-free survival (time to disease progression or death),58.0,placebo,progression-free survival (time to disease progression or death),False,False,,10% mortality in interferon gamma-1b group vs 17% in placebo (P=0.08); more frequent constitutional symptoms and pneumonias with interferon gamma-1b; similar rates of severe or life-threatening respir,23734867,16611657|16315778,"6 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,"Registry termination text keyword-classified incorrectly; both programmes stopped after prespecified futility/interim analyses (lack of efficacy), not for the class the keyword matched.",,
intrapulmonary percussive ventilation,I3,1,NA/none,COMPLETED,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
intravenous immunoglobulin,I1,2,PHASE3,NOT_YET_RECRUITING|RECRUITING,0,biologic,False,not_applicable,,Uncertain,non-randomised or indirect human evidence only,Uncertain,observational or uncontrolled only,4,1,rct,42164489.0,,composite of all-cause in-hospital mortality or the need for intubation,,usual care,composite of all-cause in-hospital mortality or the need for intubation,False,False,,,,26083430,"4 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
itraconazole,I2,1,PHASE1,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,non_randomised_trial,41253600.0,"A single rifampin 600 mg dose caused 1.48-fold and 1.86-fold increases in fipaxalparant Cmax and AUC0-∞, respectively.",drug-drug interactions between fipaxalparant and concomitant medications,,,drug-drug interactions between fipaxalparant and concomitant medications,True,False,,Treatment-emergent adverse events were mild/moderate with fipaxalparant alone or with the other study drugs.,41253600,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
jaktinib (oral),I3,1,PHASE2,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
jin-shui huan-xian granule,I3,2,NA/none,NOT_YET_RECRUITING|UNKNOWN,0,traditional_herbal_or_natural_product,True,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
lansoprazole,I3,1,PHASE3,RECRUITING,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
lebrikizumab,I1,1,PHASE2,COMPLETED,1,biologic,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,rct,33008934.0,"The primary endpoint (annualised rate of FVC % predicted decline) was not met in cohort A (lebrikizumab versus placebo, -5.2% versus -6.2%; p=0.456) or cohort B (lebrikizumab versus placebo, -5.5% versus -6.0%; p=0.557).",annualised rate of FVC % predicted decline over 52 weeks,52.0,placebo,annualised rate of FVC % predicted decline over 52 weeks,True,False,,The safety profile was consistent with that in previous studies of lebrikizumab and pirfenidone as monotherapies; well tolerated with a favourable safety profile.,,33008934,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
leramistat,I3,1,PHASE2,WITHDRAWN,0,investigational_drug,False,recruitment_or_operational,Due to slow initial recruitment and a lack of confidence in our ability to complete recruitment within the forecasted timeframe.,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
letermovir,I3,1,PHASE2,COMPLETED,1,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): the trial with posted results (NCT05041426) is cytomegalovirus prophylaxis after lung transplantation, not treatment of IPF; retained only because the registry condition field lists IPF. Out of the IPF treatment scope.",,"yes - posted registry results only, no publication located in this sweep"
leukapheresis,I3,1,PHASE1,NOT_YET_RECRUITING,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
liberase enzyme,I3,1,EARLY_PHASE1,UNKNOWN,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
losartan,I1,2,PHASE2|3,COMPLETED|TERMINATED,2,repurposed_approved_drug,False,regulatory_or_commercial,Funding was withdrawn.,Uncertain,non-randomised or indirect human evidence only,Uncertain,observational or uncontrolled only,1,0,non_randomised_trial,22810758.0,Twelve patients had a stable or improved %FVC at study month 12.,change in percentage of predicted forced vital capacity (%FVC) after 12 months,52.0,,change in percentage of predicted forced vital capacity (%FVC) after 12 months,False,False,,No treatment-related adverse events that resulted in early study discontinuation were reported.,,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
lung spheroid stem cells,I3,1,PHASE1,ACTIVE_NOT_RECRUITING,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
lung stem cells,I3,1,PHASE1|2,COMPLETED,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
macitentan,I1,2,PHASE2,COMPLETED|WITHDRAWN,1,repurposed_approved_drug,False,trial_design,Due to Protocol AC-055B201 (MUSIC) not meeting it's primary end point,Uncertain,null result that size or phase cannot make decisive,Uncertain,underpowered null,2,1,rct,23682110.0,The median change from baseline up to month 12 in forced vital capacity was -0.20 L in the macitentan arm and -0.20 L in the placebo arm.,forced vital capacity change from baseline to month 12,52.0,placebo,forced vital capacity change from baseline to month 12,False,False,,Alanine and/or aspartate aminotransferase elevations over three times upper limit of normal arose in 3.4% of macitentan-treated subjects and 5.1% of placebo recipients; well tolerated.,26843176,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,,,
maralixibat,I3,1,PHASE2|3,RECRUITING,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
mesenchymal stem cells,I1,7,PHASE1|2,COMPLETED|TERMINATED|UNKNOWN,1,cell_therapy,False,unknown,Study completed,Uncertain,"randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal",Uncertain,early-phase or single randomised source,3,2,rct,27890713.0,No treatment-emergent serious adverse events were reported.,"incidence of treatment-emergent serious adverse events (death, nonfatal pulmonary embolism, stroke, hospitalization for worsening dyspnea, clinically significan",60.0,,"incidence of treatment-emergent serious adverse events (death, nonfatal pulmonary embolism, stroke, hospitalization for ",False,False,,Two non-treatment-related deaths occurred due to IPF progression; mild to moderate decline in FVC and DLCO observed,,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C16): previously labelled 'positive randomised signal below phase 3'. The trial's primary endpoint is not a clinical outcome, so the row carries no efficacy signal.",,
metformin,I1,1,PHASE3,NOT_YET_RECRUITING,0,repurposed_approved_drug,False,not_applicable,,Uncertain,"observational human evidence only, null",Uncertain,retrospective cohort; no randomised IPF trial retrieved,2,1,rct,30025392.0,The unadjusted 1-year analyses demonstrated no significant differences in disease progression or other outcomes.,"disease progression (FVC decline ≥10%, 6MWD decline ≥50 m, or death)",,"no metformin (placebo arm, post hoc analysis)","disease progression (FVC decline ≥10%, 6MWD decline ≥50 m, or death)",False,False,,,,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,Extraction labelled PMID 30025392 an RCT; it is a retrospective cohort analysis (unadjusted 1-year comparison). Verdict downgraded from Failed to Uncertain because no adequately sized randomised test exists.,,
methylprednisolone/prednisone,I3,1,PHASE3,RECRUITING,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
minocycline,I3,1,PHASE3,UNKNOWN,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
montelukast,I3,1,PHASE2,TERMINATED,0,repurposed_approved_drug,False,recruitment_or_operational,Not meeting recruitment targets,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
morphine,I1,2,PHASE3,COMPLETED|UNKNOWN,1,supportive_or_symptomatic,False,not_applicable,,Uncertain,"positive 14-day crossover trial (n=44), cough dimension; durability untested",Uncertain,single small short-duration randomised trial,4,2,rct,38237620.0,morphine reduced objective awake cough frequency by 39·4% (95% CI -54·4 to -19·4; p=0·0005) compared with placebo.,percentage change in objective awake cough frequency (coughs per hour) from baseline at day 14,2.29,placebo,symptoms - cough (E9),False,False,,Adverse events in 40% of morphine group vs 14% of placebo group; main side-effects were nausea (14%) and constipation (21%); one death occurred in placebo group.,27764523,,"4 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",True,Downgraded from Works: registry phase label overstated a 44-patient 14-day crossover trial. Effect on cough frequency is the only licensed claim.,,
motivational interviewing,I3,1,NA/none,NOT_YET_RECRUITING,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
multidisciplinary rehabilitation and education program,I3,1,NA/none,TERMINATED,0,non_pharmacological,False,lack_of_efficacy,Study considered futile,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
n-acetylcysteine,I1,5,PHASE3,COMPLETED|WITHDRAWN,2,repurposed_approved_drug,False,recruitment_or_operational,The study encountered challenges during startup due to the COVID-19 epidemic and was withdrawn.,Failed,"monotherapy null in an adequately sized randomised arm (PANTHER-IPF NAC arm, n=264)",Probable,randomised null result,18,2,rct,24836309.0,"At 60 weeks, there was no significant difference in the change in FVC between the acetylcysteine group and the placebo group (-0.18 liters and -0.19 liters, respectively; P=0.77).",change in FVC over 60 weeks,60.0,placebo,"Change in forced vital capacity, percentage of predicted vital capacity, percentage of predicted carbon monoxide diffusi",False,True,"Post hoc pharmacogenomic and telomere-length subgroup analyses of the same trial data report differential effects (PMID 30566847 and the TOLLIP hypothesis behind NCT04300920); logged as an unresolved subgroup question (UN11), not as a positive result.","No significant differences in rates of death (4.9% vs. 2.5%, P=0.30) or acute exacerbation (2.3% in each group, P>0.99); three-drug regimen arm discontinued due to safety concerns.",38281037|35245333|35145039|26843176|41808863|25760991|25410822,16306520|22607134|26496265|32703779|30566847|28039616|28287346|27481628|25927225,"18 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,"Monotherapy is graded separately from the triple-therapy combination entity. Harm belongs to the combination, not to NAC alone; the NAC arm was null.",,
nandrolone decanoate,I3,1,PHASE1|2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
nebivolol,I3,1,PHASE1,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
nerandomilast,I1,5,PHASE3,COMPLETED|RECRUITING,3,investigational_drug,False,not_applicable,,Works,"phase 3 randomised, FVC dimension only; mortality and exacerbation endpoints not significant",Probable,"single large phase 3 randomised trial, endpoint-specific",5,2,rct,40387033.0,"Adjusted mean changes in FVC at week 52 were -114.7 ml (95% confidence interval [CI], -141.8 to -87.5) in the nerandomilast 18-mg group, -138.6 ml (95% CI, -165.6 to -111.6) in the nerandomilast 9-mg group, and -183.5 ml (95% CI, -210.9 to -156.1) in the placebo group.",absolute change from baseline in forced vital capacity (FVC) in milliliters at week 52,52.0,placebo,absolute change from baseline in forced vital capacity (FVC) in milliliters at week 52,False,False,,"Most frequent adverse event was diarrhea (41.3% in 18-mg group, 31.1% in 9-mg group, 16.0% in placebo); serious adverse events balanced across groups.",41808863|42115887,,"5 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 1 null, 0 harm.",True,"Engine read a conflict because a second report of the SAME trial's secondary endpoints (PMID 41738262) was extracted as a null result. Same trial, different endpoint - not an independent contradicting source. FIBRONEER-IPF met its primary FVC endpoint; the hazard ratios for progression/death were not significant, which is recorded as a dimension limit, not as a conflict.",,
neuromuscular electrical stimulation,I1,3,NA/none,COMPLETED|UNKNOWN,0,device_or_procedure,False,not_applicable,,Uncertain,non-randomised or indirect human evidence only,Uncertain,observational or uncontrolled only,1,1,rct,34083348.0,"Out of 364 people screened, 23 were recruited: 11 were allocated to each group and one was withdrawn prior to randomisation.","feasibility of recruitment and retention, treatment uptake and adherence, outcome assessments, participant and outcome assessor blinding and adverse events rela",6.0,placebo NMES with usual care,"feasibility of recruitment and retention, treatment uptake and adherence, outcome assessments, participant and outcome a",False,False,,A greater proportion of the intervention group experienced intervention-related adverse events compared with the control group.,,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
nicotinamide riboside,I3,1,PHASE2,RECRUITING,0,supplement_or_vitamin,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
nintedanib,I1,25,PHASE4,COMPLETED|NOT_YET_RECRUITING|RECRUITING|TERMINATED,24,approved_antifibrotic,False,recruitment_or_operational,Low enrollment; The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.; The trial was terminated prematurely due to difficulties with recruitment because of the COVID-19 pandemic.,Works,"phase 3 randomised evidence, graded on its own endpoint only",Probable,"randomised, endpoint-specific",38,5,rct,24836310.0,"The adjusted annual rate of change in FVC was -114.7 ml with nintedanib versus -239.9 ml with placebo (difference, 125.3 ml; 95% confidence interval [CI], 77.7 to 172.8; P<0.001) in INPULSIS-1 and -113.6 ml with nintedanib versus -207.3 ml with placebo (difference, 93.7 ml; 95% CI, 44.8 to 142.7; P<0.001) in INPULSIS-2.",annual rate of decline in forced vital capacity (FVC),52.0,placebo,annual rate of decline in forced vital capacity (FVC),False,False,,diarrhea most frequent adverse event (61.5% nintedanib vs 18.6% placebo in INPULSIS-1; 63.2% vs 18.3% in INPULSIS-2); led to discontinuation in <5% of patients,38281037|40754799|42115887|35145039|26843176|25760991|25410822|41253600,38030064|35594703|30220235|37012071|34895203|38963453|40789229|34217681|28039616|33054319|25927225|28699195|27481628|28287346|26836914|37073794|30578394|41057813|36753211|42671912,"38 human studies attributed; strongest rct; IPF-only monotherapy randomised: 4 positive, 0 null, 0 harm.",False,,,
nintedanib + dextromethorphan,I3,1,PHASE2,NOT_YET_RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
nitric oxide,I1,1,EARLY_PHASE1,UNKNOWN,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,3,0,rct,32092321.0,"During blinded treatment, iNO30 subjects showed an average improvement in moderate/vigorous physical activity (MVPA) and remained stable in overall activity. Placebo subjects showed an average drop of 26% in MVPA and a 12% drop in overall activity.",moderate/vigorous physical activity (MVPA) and overall activity measured by activity monitoring,8.0,placebo,moderate/vigorous physical activity (MVPA) and overall activity measured by activity monitoring,True,False,,"Inhaled nitric oxide at all doses (30, 45, and 75 μg/kg/h) was safe and well tolerated.",,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
octreotide,I1,1,PHASE1|2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,observational_cohort,16883006.0,"Compared with lung uptake in control patients (median L/B, 1.25; range, 1.14-1.49), lung uptake was increased in all 11 IPF patients (median L/B, 2.63; range, 1.59-3.13; P < 0.001) and in 4 of 6 SSc patients (median L/B, 1.68; range, 1.42-2.16).",Expression of somatostatin receptor subtype 2 (sst2) in lungs and correlation with pulmonary fibrosis activity,,,Expression of somatostatin receptor subtype 2 (sst2) in lungs and correlation with pulmonary fibrosis activity,True,False,,,,,"1 human studies attributed; strongest observational_cohort; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
omeprazole,I1,1,PHASE2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Uncertain,"pilot feasibility trial; cough-frequency point estimate favours the drug but the interval includes no effect, with lung-function decrements favouring placebo",Uncertain,single-centre randomised pilot (n=45) with no formal sample-size calculation,1,1,rct,30610155.0,"Geometric mean cough frequency at the end of treatment, adjusted for baseline, was 39.1% lower (95% CI 66.0% lower to 9.3% higher) in the omeprazole group compared with placebo",cough frequency,12.0,placebo,cough frequency,False,False,,"Omeprazole was well tolerated; adverse event profiles similar in both groups, although small excess of lower respiratory tract infection and small fall in FEV and FVC with omeprazole.",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C17), full text verified: primary objectives were feasibility and acceptability, not efficacy, and no formal sample-size calculation was performed. In the same trial the adjusted between-group differences were FEV1 -0.12 L (95% CI -0.25 to -0.002) and -7.4% predicted (-14.6 to -0.2) and FVC -0.11 L (-0.21 to -0.02), all favouring placebo, with lower respiratory tract infection in 6 of 23 on omeprazole versus 3 of 22 on placebo.",,
omipalisib,I1,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Uncertain,"randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal",Uncertain,early-phase or single randomised source,1,1,rct,30765508.0,"Exposure-dependent inhibition of phosphatidylinositol 3,4,5 trisphosphate and pAKT confirmed target engagement in blood and lungs.","safety, tolerability, pharmacokinetics and pharmacodynamics",1.1,placebo,"safety, tolerability, pharmacokinetics and pharmacodynamics",False,False,,Most common adverse event was diarrhoea (4 participants); dose-related increases in insulin and glucose observed.,,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C16): previously labelled 'positive randomised signal below phase 3'. The trial's primary endpoint is not a clinical outcome, so the row carries no efficacy signal.",,
one-leg cycle training,I3,1,NA/none,ACTIVE_NOT_RECRUITING,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
orvepitant,I3,1,PHASE2,COMPLETED,1,investigational_drug,False,not_applicable,,Failed,randomised placebo-controlled crossover trial null on the primary cough-severity endpoint at both doses,Probable,"one randomised crossover trial, registry-posted only",1,1,rct,,"NCT05185089 (n=80) primary endpoint mean change from baseline in weekly average daily IPF cough severity: mean difference 0.00 (95% CI -0.62 to 0.63, p=0.989, ANCOVA) for orvepitant 10 mg versus placebo and -0.58 (95% CI -1.16 to 0.01, p=0.054) for orvepitant 30 mg versus placebo.",change in daily IPF cough severity score,,,E9 cough / symptom burden,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. The 30 mg comparison is directionally favourable but does not reach the conventional threshold; the trial is null on its primary endpoint as posted.,,"yes - no IPF results publication found in PubMed (the published orvepitant cough trial, PMID 31421110, is chronic refractory cough, not IPF)"
